slang,meaning
seger,menyegarkan
ngepot,menyetir dengan cepat
insecure,merasa tidak aman
flexing,pamer
healing,penyembuhan diri
sadboi,pria yang sedih
bestie,sahabat
mantul,sangat bagus
receh,sederhana atau kecil
tipis-tipis,sedikit saja
vibes,suasana
fomo,takut ketinggalan
woles,tenang
baper,terbawa perasaan
viral,terkenal di media sosial
gabut,tidak ada kegiatan
gaje,tidak jelas
lowkey,tidak mencolok
sadgirl,wanita yang sedih
sabi,bisa
kemek,berbicara kasar
halu,berimajinasi
mikir keras,berpikir serius
bucin,budak cinta
spill the tea,membocorkan rahasia
self love,mencintai diri sendiri
ngeprank,mengelabui
ghosting,menghilang tiba-tiba
ngestalk,mengintai di media sosial
ngehe,menyebalkan
yuhu,ekspresi kegembiraan
anjir,ekspresi keterkejutan
uwu,ekspresi lucu
sadis,mengerikan
goks,keren
salty,iri
spill,membocorkan
cringe,memalukan
boncabs,bohong cabut
ntaps,mantap
ababil,anak ingusan
ababil,abg labil
abal,palsu
abal2,palsu
abis,habis
acc,accord
sblm,sebelum
ad,ada
adlah,adalah
adlh,adalah
adoh,aduh
afaik,as far as i know
aha,tertawa
ahaha,haha
ahokncc,ahok
aing,saya
aj,saja
aja,saja
ajep-ajep,dunia gemerlap
ajj,saja
ak,saya
aka,dikenal juga sebagai
akhirx,akhirnya
akika,saya
akko,saya
akkoh,saya
akku,saya
akooh,saya
akuwh,saya
akyu,saya
alay,norak
albm,album
aljasa,asal jadi saja
alow,halo
ama,sama
maw,mau
ambilin,ambilkan
ambl,ambil
ampe,sampai
analisise,analisis
ancur,hancur
anjir,anjing
anjir,waw
anjrit,anjing
ank,anak
anter,antar
anyway,ngomong-ngomong
ap,apa
apa2,apa apa
ap2,apa apa
apaan,apa
apasih,apa sih
ape,apa
apes,sial
aplot,unggah
aps,apa
apva,apa
aq,saya
aq,saya
aqu,saya
aquwh,saya
asap,secepatnya
asap,sesegera mungkin
asbun,asal bunyi
aseek,asyik
aseekk,asyik
asek,asyik
asekk,asyik
aseknya,asyiknya
asem,asam
asoy,asyik
aspal,asli tetapi palsu
astrojim,astagfirullahaladzim
astul,asal tulis
ath,kalau begitu
ato,atau
atuh,kalau begitu
atw,atau
au ah,tidak mau tahu
ava,avatar
ava,foto profil
awak,saya
aws,awas
ay,sayang
ayang,sayang
ayank,sayang
ayok,ayo
b4,sebelum
bacot,banyak bicara
baget,keras kepala
bakalan,akan
bales,balas
bandes,bantuan desa
bangdes,pembangunan desa
bangedh,banget
bangkotan,tua
banpol,bantuan polisi
banpres,bantuan presiden
banpur,bantuan tempur
bansarkas,bantuan sarana kesehatan
bapuk,rusak
basbang,basi
"bazis,""badan amal, zakat, infak, dan sedekah"","
bcanda,bercanda
bcoz,karena
bcr,bicara
bdg,bandung
beb,sayang
bebeb,pacar
begajulan,nakal
begin,awal
bejibun,banyak
bejibun,bertumpuk banyak
beliin,belikan
belom,belum
benarjujur,jujur
bencong,banci
bener,benar
bentar,sebentar
ber2,berdua
ber3,bertiga
berdikari,berdiri di atas kaki sendiri
beresin,membereskan
bet,banget
bete,bosan
beti,beda tipis
better,lebih baik
beud,banget
beut,banget
bf,pacar
bg,abang
bgd,banget
bgmn,bagaimana
bgs,bagus
bgt,banget
bhas,bahas
bhg,bahagia
bhubu,tidur
bijimane,bagaimana
bikin,buat
bimbuluh,bimbingan dan penyuluhan
binggo,banget
bingit,banget
bintal,bimbingan mental
bisi,kalau-kalau
bkl,akan
bklan,bakalan
bkn,bukan
bknnya,bukannya
bl,beli
blegug,bodoh
blg,bilang
blh,boleh
blm,belum
bln,bulan
bls,balas
blum,belum
bnchi,benci
bnci,benci
bngung,bingung
bnr,benar
bnran,yang benar
bnyk,banyak
bodor,lucu
bohay,badan aduhai
bokap,ayah
bokep,porno
boker,buang air besar
bokin,pacar
bokis,bohong
bole,boleh
boljug,boleh juga
bolot,bodoh
bonek,bocah nekat
bonyok,ayah ibu
boyeh,boleh
bpk,bapak
br,baru
brb,akan segera kembali
brb,segera kembali
brg,bareng
brjaya,berjaya
brngkt,berangkat
bro,saudara laki-laki
brp,berapa
bru,baru
brur,saudara laki-laki
bs,bisa
bsa,bisa
bsen,bosan
bsk,besok
bt,buat
btw,ngomong-ngomong
bu_bu,tidur
buangbuang,buang
buaya,tidak setia
bubarin,bubarkan
bubbu,tidur
buber,buka bersama
bubu,tidur
bujubune,luar biasa
bumil,ibu hamil
buser,buru sergap
bw,bawa
bwhn,bawahan
bwt,buat
byar,bayar
byk,banyak
byr,bayar
byrin,bayarkan
cabal,sabar
cabut,pergi
cadas,keren
caem,cakep
calo,makelar
cama-cama,sama-sama
can,belum
cangcut,celana dalam
capcus,pergi
cape,capek
caper,cari perhatian
caur,jelek
cb,coba
ce,cewek
cekak,tidak ada uang
cekal,cegah tangkal
cekidot,coba lihat
cemen,penakut
cemplungin,cemplungkan
cengengesan,tertawa
ceper,pendek
cepet,cepat
ceu,kakak perempuan
cew,cewek
cewe,cewek
chuyunk,sayang
cibuk,sibuk
cimeng,ganja
cin,cinta
cipika cipiki,cium pipi kanan cium pipi kiri
ciye,cie
ciyh,sih
ckck,ck
ckepp,cakep
ckp,cakep
clbk,cinta lama bersemi kembali
cm,cuma
cmiiw,koreksi saya
cmpr,campur
cmpur,campur
cnenk,senang
cnt,cinta
cong,banci
congor,mulut
congrats,selamat
conlok,cinta lokasi
cow,cowok
cowwyy,maaf
coz,karena
cp,siapa
cpa,siapa
cpe,capek
cppe,capek
crop,potong
cucok,cocok
cuex,cuek
cumi,cuma miscall
cups,culun
curanmor,pencurian kendaraan bermotor
curcol,curahan hati colongan
cwek,cewek
cya,sampai jumpa lagi
cyin,cinta
d,di
da,ada
dafuk,kurang ajar
dah,deh
damat,tidak peduli
dapet,dapat
de,adik
dek,adik
demen,suka
dempa,demi apa
deyh,deh
dgn,dengan
diancurin,dihancurkan
dimaafin,dimaafkan
dimintak,diminta
disono,di sana
dket,dekat
dkk,dan kawan-kawan
dkt,dekat
dll,dan lain-lain
dlm,dalam
dlu,dulu
dmn,dimana
dngn,dengan
dodol,bodoh
doku,uang
dongs,dong
dpt,dapat
dr,dari
dri,dari
drmn,darimana
drpd,daripada
drtd,dari tadi
dsna,disana
dst,dan seterusnya
dtg,datang
dugem,dunia gemerlap
duh,aduh
duren,durian
ed,edisi
egp,emang gue pikirin
eke,saya
elo,kamu
elu,kamu
emangnya,memangnya
emg,memang
emng,memang
endak,tidak
enggak,tidak
envy,iri
epsd,episode
ex,mantan
fake,falsu
faktakta,fakta
fans,penggemar
faq,pertanyaan umum
fax,facsimile
fham,paham
fhm,paham
fifo,first in first out
fix,pasti
folbek,follow back
ft,foto
fyi,asal tahu saja
fyi,sebagai informasi
g,tidak
ga,tidak
gaada,tidak ada
gaada,tidak ada uang
gabut,gaji buta
gada,tidak ada
gag,tidak
gaje,tidak jelas
gajebo,tidak jelas
gak,tidak
gak papa,tidak apa-apa
galau,bimbang
gan,juragan
